"","season","team.home","team.alien","diff.score"
"149",2015,1112,1160,14
"150",2015,1160,1112,-28
"151",2015,1332,1112,-18
"152",2015,1112,1332,34
"153",2015,1112,1333,23
"154",2015,1333,1112,2
"155",2015,1390,1112,-7
"156",2015,1112,1390,22
"157",2015,1112,1428,18
"158",2015,1428,1112,-6
"159",2015,1143,1113,-35
"160",2015,1113,1143,4
"161",2015,1113,1160,6
"162",2015,1160,1113,6
"163",2015,1332,1113,3
"164",2015,1113,1332,-1
"165",2015,1113,1333,18
"166",2015,1333,1113,8
"167",2015,1113,1390,5
"168",2015,1390,1113,19
"169",2015,1113,1428,-17
"170",2015,1428,1113,42
"171",2015,1117,1114,-10
"172",2015,1114,1117,13
"173",2015,1204,1114,15
"174",2015,1114,1204,-2
"175",2015,1114,1209,9
"176",2015,1209,1114,13
"177",2015,1114,1375,-3
"178",2015,1375,1114,2
"179",2015,1114,1402,8
"180",2015,1402,1114,3
"181",2015,1114,1407,8
"182",2015,1407,1114,-5
"183",2015,1114,1418,-4
"184",2015,1418,1114,6
"185",2015,1419,1114,12
"186",2015,1114,1419,-16
"187",2015,1114,1426,-7
"188",2015,1426,1114,9
"189",2015,1212,1115,-12
"190",2015,1115,1212,9
"191",2015,1115,1238,2
"192",2015,1238,1115,24
"193",2015,1290,1115,-19
"194",2015,1115,1290,-4
"195",2015,1115,1341,37
"196",2015,1341,1115,21
"197",2015,1380,1115,10
"198",2015,1115,1380,-18
"199",2015,1115,1411,4
"200",2015,1411,1115,6
"201",2015,1279,1116,-1
"202",2015,1116,1279,-14
"203",2015,1116,1280,20
"204",2015,1280,1116,-4
"205",2015,1281,1116,-1
"206",2015,1116,1281,15
"207",2015,1116,1376,20
"208",2015,1376,1116,-4
"209",2015,1116,1397,5
"210",2015,1397,1116,5
"211",2015,1117,1204,-12
"212",2015,1204,1117,5
"213",2015,1117,1209,-6
"214",2015,1209,1117,31
"215",2015,1375,1117,-3
"216",2015,1117,1375,-5
"217",2015,1117,1402,5
"218",2015,1402,1117,10
"219",2015,1407,1117,-9
"220",2015,1117,1407,-5
"221",2015,1418,1117,37
"222",2015,1117,1418,-24
"223",2015,1117,1419,2
"224",2015,1419,1117,9
"225",2015,1117,1426,1
"226",2015,1426,1117,27
"227",2015,1119,1131,4
"228",2015,1131,1119,6
"229",2015,1137,1119,6
"230",2015,1119,1137,-3
"231",2015,1119,1159,2
"232",2015,1159,1119,15
"233",2015,1221,1119,-2
"234",2015,1119,1221,-9
"235",2015,1119,1248,-14
"236",2015,1248,1119,10
"237",2015,1119,1250,-11
"238",2015,1250,1119,29
"239",2015,1259,1119,-24
"240",2015,1119,1259,-6
"241",2015,1208,1120,-1
"242",2015,1120,1208,-3
"243",2015,1261,1120,-4
"244",2015,1120,1261,-23
"245",2015,1120,1281,6
"246",2015,1281,1120,2
"247",2015,1120,1401,-10
"248",2015,1401,1120,25
"249",2015,1183,1122,-4
"250",2015,1122,1183,-11
"251",2015,1122,1188,3
"252",2015,1188,1122,4
"253",2015,1122,1252,-9
"254",2015,1252,1122,6
"255",2015,1122,1293,-10
"256",2015,1293,1122,35
"257",2015,1122,1369,-6
"258",2015,1369,1122,24
"259",2015,1122,1404,-12
"260",2015,1404,1122,6
"261",2015,1123,1141,18
"262",2015,1141,1123,23
"263",2015,1185,1123,-1
"264",2015,1123,1185,-7
"265",2015,1123,1245,-11
"266",2015,1245,1123,5
"267",2015,1296,1123,12
"268",2015,1123,1296,-4
"269",2015,1123,1405,-11
"270",2015,1405,1123,11
"271",2015,1444,1123,2
"272",2015,1123,1444,-5
"273",2015,1124,1235,1
"274",2015,1235,1124,-9
"275",2015,1124,1242,-1
"276",2015,1242,1124,10
"277",2015,1124,1243,27
"278",2015,1243,1124,2
"279",2015,1124,1328,11
"280",2015,1328,1124,10
"281",2015,1329,1124,11
"282",2015,1124,1329,-9
"283",2015,1395,1124,-7
"284",2015,1124,1395,20
"285",2015,1124,1400,23
"286",2015,1400,1124,2
"287",2015,1403,1124,-5
"288",2015,1124,1403,3
"289",2015,1452,1124,-18
"290",2015,1124,1452,12
"291",2015,1125,1184,5
"292",2015,1184,1125,12
"293",2015,1125,1240,21
"294",2015,1240,1125,2
"295",2015,1252,1125,-25
"296",2015,1125,1252,5
"297",2015,1125,1287,1
"298",2015,1287,1125,2
"299",2015,1398,1125,-8
"300",2015,1125,1398,26
"301",2015,1125,1399,18
"302",2015,1399,1125,-6
"303",2015,1460,1125,3
"304",2015,1125,1460,-8
"305",2015,1197,1126,-17
"306",2015,1126,1197,7
"307",2015,1126,1299,22
"308",2015,1299,1126,17
"309",2015,1126,1300,-14
"310",2015,1300,1126,23
"311",2015,1126,1354,10
"312",2015,1354,1126,5
"313",2015,1216,1127,10
"314",2015,1127,1216,-1
"315",2015,1127,1262,7
"316",2015,1262,1127,10
"317",2015,1127,1263,19
"318",2015,1263,1127,3
"319",2015,1127,1306,-7
"320",2015,1306,1127,18
"321",2015,1420,1127,-12
"322",2015,1127,1420,7
"323",2015,1127,1436,2
"324",2015,1436,1127,20
"325",2015,1129,1161,4
"326",2015,1161,1129,6
"327",2015,1129,1201,19
"328",2015,1201,1129,6
"329",2015,1307,1129,-10
"330",2015,1129,1307,11
"331",2015,1129,1361,15
"332",2015,1361,1129,-10
"333",2015,1129,1363,50
"334",2015,1363,1129,-17
"335",2015,1129,1424,9
"336",2015,1424,1129,-5
"337",2015,1429,1129,-5
"338",2015,1129,1429,-1
"339",2015,1274,1130,4
"340",2015,1130,1274,-3
"341",2015,1323,1130,8
"342",2015,1130,1323,-17
"343",2015,1130,1338,-1
"344",2015,1338,1130,6
"345",2015,1393,1130,8
"346",2015,1130,1393,-14
"347",2015,1131,1137,-15
"348",2015,1137,1131,9
"349",2015,1159,1131,9
"350",2015,1131,1159,-7
"351",2015,1221,1131,-3
"352",2015,1131,1221,-7
"353",2015,1131,1250,19
"354",2015,1250,1131,3
"355",2015,1131,1259,13
"356",2015,1259,1131,5
"357",2015,1298,1131,-6
"358",2015,1131,1298,3
"359",2015,1132,1138,-12
"360",2015,1138,1132,2
"361",2015,1245,1132,-2
"362",2015,1132,1245,-1
"363",2015,1275,1132,-5
"364",2015,1132,1275,-11
"365",2015,1132,1296,10
"366",2015,1296,1132,-4
"367",2015,1132,1325,15
"368",2015,1325,1132,-11
"369",2015,1133,1179,-12
"370",2015,1179,1133,6
"371",2015,1191,1133,-3
"372",2015,1133,1191,-10
"373",2015,1229,1133,10
"374",2015,1133,1229,-13
"375",2015,1232,1133,6
"376",2015,1133,1232,-8
"377",2015,1260,1133,15
"378",2015,1133,1260,-5
"379",2015,1133,1283,2
"380",2015,1283,1133,3
"381",2015,1133,1320,-11
"382",2015,1320,1133,17
"383",2015,1133,1356,19
"384",2015,1356,1133,11
"385",2015,1455,1133,20
"386",2015,1133,1455,-3
"387",2015,1162,1135,21
"388",2015,1135,1162,-17
"389",2015,1135,1165,1
"390",2015,1165,1135,8
"391",2015,1135,1171,3
"392",2015,1171,1135,6
"393",2015,1135,1217,-2
"394",2015,1217,1135,10
"395",2015,1335,1135,-16
"396",2015,1135,1335,6
"397",2015,1343,1135,11
"398",2015,1135,1343,-18
"399",2015,1135,1463,-18
"400",2015,1463,1135,4
"401",2015,1148,1136,-16
"402",2015,1136,1148,8
"403",2015,1136,1192,13
"404",2015,1192,1136,-3
"405",2015,1254,1136,-4
"406",2015,1136,1254,5
"407",2015,1136,1291,2
"408",2015,1291,1136,7
"409",2015,1136,1383,10
"410",2015,1383,1136,16
"411",2015,1136,1384,26
"412",2015,1384,1136,7
"413",2015,1136,1447,8
"414",2015,1447,1136,-1
"415",2015,1159,1137,6
"416",2015,1137,1159,-2
"417",2015,1137,1250,6
"418",2015,1250,1137,19
"419",2015,1259,1137,-14
"420",2015,1137,1259,11
"421",2015,1137,1298,2
"422",2015,1298,1137,-1
"423",2015,1141,1138,11
"424",2015,1138,1141,-1
"425",2015,1138,1245,25
"426",2015,1245,1138,-6
"427",2015,1275,1138,-7
"428",2015,1138,1275,9
"429",2015,1138,1325,27
"430",2015,1325,1138,2
"431",2015,1138,1444,6
"432",2015,1444,1138,10
"433",2015,1139,1166,3
"434",2015,1166,1139,-2
"435",2015,1139,1177,10
"436",2015,1177,1139,-14
"437",2015,1207,1139,2
"438",2015,1139,1207,-6
"439",2015,1266,1139,-4
"440",2015,1139,1266,21
"441",2015,1344,1139,-4
"442",2015,1139,1344,-4
"443",2015,1371,1139,-4
"444",2015,1139,1371,20
"445",2015,1385,1139,-4
"446",2015,1139,1385,23
"447",2015,1437,1139,12
"448",2015,1139,1437,-3
"449",2015,1139,1462,12
"450",2015,1462,1139,17
"451",2015,1211,1140,-3
"452",2015,1140,1211,-7
"453",2015,1140,1258,13
"454",2015,1258,1140,-19
"455",2015,1334,1140,-13
"456",2015,1140,1334,25
"457",2015,1140,1337,-6
"458",2015,1337,1140,6
"459",2015,1140,1339,9
"460",2015,1339,1140,-13
"461",2015,1140,1360,13
"462",2015,1360,1140,3
"463",2015,1362,1140,-31
"464",2015,1140,1362,4
"465",2015,1365,1140,-35
"466",2015,1140,1365,21
"467",2015,1140,1388,22
"468",2015,1388,1140,5
"469",2015,1141,1185,14
"470",2015,1185,1141,-16
"471",2015,1141,1296,2
"472",2015,1296,1141,18
"473",2015,1141,1325,5
"474",2015,1325,1141,-11
"475",2015,1405,1141,-3
"476",2015,1141,1405,8
"477",2015,1141,1444,5
"478",2015,1444,1141,12
"479",2015,1142,1168,11
"480",2015,1168,1142,-11
"481",2015,1142,1169,7
"482",2015,1169,1142,7
"483",2015,1218,1142,-4
"484",2015,1142,1218,-3
"485",2015,1142,1253,13
"486",2015,1253,1142,2
"487",2015,1142,1364,-5
"488",2015,1364,1142,8
"489",2015,1413,1142,3
"490",2015,1142,1413,-10
"491",2015,1414,1142,10
"492",2015,1142,1414,-7
"493",2015,1142,1415,19
"494",2015,1415,1142,4
"495",2015,1143,1390,-10
"496",2015,1390,1143,11
"497",2015,1143,1417,2
"498",2015,1417,1143,19
"499",2015,1143,1425,1
"500",2015,1425,1143,14
"501",2015,1143,1449,6
"502",2015,1449,1143,-2
"503",2015,1450,1143,-9
"504",2015,1143,1450,-3
"505",2015,1149,1144,3
"506",2015,1144,1149,-29
"507",2015,1144,1157,-3
"508",2015,1157,1144,24
"509",2015,1144,1205,19
"510",2015,1205,1144,8
"511",2015,1219,1144,7
"512",2015,1144,1219,-12
"513",2015,1144,1251,7
"514",2015,1251,1144,13
"515",2015,1144,1342,13
"516",2015,1342,1144,2
"517",2015,1144,1421,-4
"518",2015,1421,1144,7
"519",2015,1144,1457,15
"520",2015,1457,1144,8
"521",2015,1193,1145,-14
"522",2015,1145,1193,7
"523",2015,1145,1233,4
"524",2015,1233,1145,3
"525",2015,1145,1264,-3
"526",2015,1264,1145,9
"527",2015,1265,1145,-15
"528",2015,1145,1265,-8
"529",2015,1145,1284,-5
"530",2015,1284,1145,4
"531",2015,1310,1145,-13
"532",2015,1145,1310,-11
"533",2015,1145,1346,6
"534",2015,1346,1145,-2
"535",2015,1351,1145,13
"536",2015,1145,1351,-1
"537",2015,1145,1373,34
"538",2015,1373,1145,-6
"539",2015,1389,1145,-3
"540",2015,1145,1389,14
"541",2015,1146,1270,-17
"542",2015,1270,1146,2
"543",2015,1146,1309,3
"544",2015,1309,1146,20
"545",2015,1146,1311,-10
"546",2015,1311,1146,7
"547",2015,1146,1322,-2
"548",2015,1322,1146,16
"549",2015,1146,1358,-28
"550",2015,1358,1146,27
"551",2015,1146,1368,2
"552",2015,1368,1146,25
"553",2015,1148,1192,-6
"554",2015,1192,1148,7
"555",2015,1148,1254,-5
"556",2015,1254,1148,12
"557",2015,1291,1148,31
"558",2015,1148,1291,-17
"559",2015,1148,1352,-12
"560",2015,1352,1148,1
"561",2015,1148,1357,3
"562",2015,1357,1148,9
"563",2015,1148,1384,3
"564",2015,1384,1148,11
"565",2015,1148,1447,3
"566",2015,1447,1148,31
"567",2015,1149,1157,11
"568",2015,1157,1149,9
"569",2015,1149,1205,13
"570",2015,1205,1149,10
"571",2015,1149,1219,4
"572",2015,1219,1149,11
"573",2015,1149,1251,22
"574",2015,1251,1149,-12
"575",2015,1149,1255,14
"576",2015,1255,1149,-1
"577",2015,1342,1149,-8
"578",2015,1149,1342,26
"579",2015,1347,1149,-8
"580",2015,1149,1347,-7
"581",2015,1267,1150,-5
"582",2015,1150,1267,13
"583",2015,1150,1317,16
"584",2015,1317,1150,16
"585",2015,1150,1330,-7
"586",2015,1330,1150,4
"587",2015,1349,1150,-1
"588",2015,1150,1349,-5
"589",2015,1443,1150,8
"590",2015,1150,1443,-4
"591",2015,1154,1151,-19
"592",2015,1151,1154,5
"593",2015,1190,1151,-3
"594",2015,1151,1190,8
"595",2015,1151,1202,12
"596",2015,1202,1151,-3
"597",2015,1151,1273,13
"598",2015,1273,1151,3
"599",2015,1359,1151,-6
"600",2015,1151,1359,7
"601",2015,1151,1422,9
"602",2015,1422,1151,-3
"603",2015,1151,1440,22
"604",2015,1440,1151,-4
"605",2015,1151,1441,6
"606",2015,1441,1151,3
"607",2015,1459,1151,-10
"608",2015,1151,1459,-4
"609",2015,1152,1167,-16
"610",2015,1167,1152,13
"611",2015,1213,1152,-1
"612",2015,1152,1213,4
"613",2015,1282,1152,2
"614",2015,1152,1282,-11
"615",2015,1152,1308,-8
"616",2015,1308,1152,4
"617",2015,1152,1370,-8
"618",2015,1370,1152,26
"619",2015,1152,1410,5
"620",2015,1410,1152,5
"621",2015,1152,1430,21
"622",2015,1430,1152,16
"623",2015,1153,1163,12
"624",2015,1163,1153,6
"625",2015,1153,1187,21
"626",2015,1187,1153,4
"627",2015,1153,1222,13
"628",2015,1222,1153,-10
"629",2015,1153,1272,12
"630",2015,1272,1153,13
"631",2015,1153,1374,6
"632",2015,1374,1153,-8
"633",2015,1153,1396,31
"634",2015,1396,1153,16
"635",2015,1408,1153,-16
"636",2015,1153,1408,-1
"637",2015,1416,1153,-10
"638",2015,1153,1416,23
"639",2015,1154,1190,1
"640",2015,1190,1154,11
"641",2015,1202,1154,-6
"642",2015,1154,1202,-12
"643",2015,1273,1154,23
"644",2015,1154,1273,-23
"645",2015,1154,1359,10
"646",2015,1359,1154,-1
"647",2015,1422,1154,-2
"648",2015,1154,1422,-16
"649",2015,1440,1154,10
"650",2015,1154,1440,-15
"651",2015,1441,1154,8
"652",2015,1154,1441,-13
"653",2015,1154,1459,3
"654",2015,1459,1154,26
"655",2015,1199,1155,-6
"656",2015,1155,1199,-4
"657",2015,1155,1210,7
"658",2015,1210,1155,11
"659",2015,1301,1155,-11
"660",2015,1155,1301,-5
"661",2015,1155,1323,-2
"662",2015,1323,1155,14
"663",2015,1156,1178,4
"664",2015,1178,1156,1
"665",2015,1227,1156,-5
"666",2015,1156,1227,8
"667",2015,1156,1324,4
"668",2015,1324,1156,3
"669",2015,1156,1453,14
"670",2015,1453,1156,-5
"671",2015,1156,1454,27
"672",2015,1454,1156,6
"673",2015,1460,1156,-5
"674",2015,1156,1460,16
"675",2015,1464,1156,-13
"676",2015,1156,1464,13
"677",2015,1219,1157,-15
"678",2015,1157,1219,5
"679",2015,1251,1157,-15
"680",2015,1157,1251,40
"681",2015,1157,1255,6
"682",2015,1255,1157,-13
"683",2015,1157,1342,11
"684",2015,1342,1157,11
"685",2015,1157,1354,14
"686",2015,1354,1157,-14
"687",2015,1158,1174,-6
"688",2015,1174,1158,3
"689",2015,1180,1158,2
"690",2015,1158,1180,-14
"691",2015,1189,1158,-16
"692",2015,1158,1189,14
"693",2015,1158,1220,-5
"694",2015,1220,1158,33
"695",2015,1158,1241,-11
"696",2015,1241,1158,7
"697",2015,1318,1158,2
"698",2015,1158,1318,-9
"699",2015,1406,1158,4
"700",2015,1158,1406,-3
"701",2015,1158,1423,-2
"702",2015,1423,1158,13
"703",2015,1158,1456,8
"704",2015,1456,1158,30
"705",2015,1159,1221,14
"706",2015,1221,1159,10
"707",2015,1248,1159,-12
"708",2015,1159,1248,-5
"709",2015,1250,1159,-7
"710",2015,1159,1250,6
"711",2015,1159,1259,1
"712",2015,1259,1159,2
"713",2015,1160,1417,6
"714",2015,1417,1160,13
"715",2015,1160,1425,21
"716",2015,1425,1160,-4
"717",2015,1428,1160,25
"718",2015,1160,1428,-28
"719",2015,1449,1160,-17
"720",2015,1160,1449,-2
"721",2015,1160,1450,32
"722",2015,1450,1160,5
"723",2015,1161,1201,23
"724",2015,1201,1161,-8
"725",2015,1161,1305,56
"726",2015,1305,1161,-16
"727",2015,1161,1307,11
"728",2015,1307,1161,13
"729",2015,1161,1361,6
"730",2015,1361,1161,9
"731",2015,1363,1161,-29
"732",2015,1161,1363,16
"733",2015,1161,1461,-6
"734",2015,1461,1161,11
"735",2015,1165,1162,-3
"736",2015,1162,1165,-10
"737",2015,1171,1162,12
"738",2015,1162,1171,-13
"739",2015,1217,1162,4
"740",2015,1162,1217,-10
"741",2015,1162,1335,27
"742",2015,1335,1162,8
"743",2015,1162,1343,-12
"744",2015,1343,1162,2
"745",2015,1392,1162,1
"746",2015,1162,1392,-9
"747",2015,1463,1162,-6
"748",2015,1162,1463,-4
"749",2015,1163,1187,13
"750",2015,1187,1163,-11
"751",2015,1272,1163,3
"752",2015,1163,1272,-1
"753",2015,1163,1374,8
"754",2015,1374,1163,18
"755",2015,1163,1396,-4
"756",2015,1396,1163,12
"757",2015,1408,1163,-9
"758",2015,1163,1408,7
"759",2015,1163,1409,25
"760",2015,1409,1163,8
"761",2015,1175,1164,-4
"762",2015,1164,1175,-12
"763",2015,1224,1164,2
"764",2015,1164,1224,-17
"765",2015,1164,1288,13
"766",2015,1288,1164,-11
"767",2015,1313,1164,19
"768",2015,1164,1313,-18
"769",2015,1171,1165,-9
"770",2015,1165,1171,-11
"771",2015,1165,1217,8
"772",2015,1217,1165,21
"773",2015,1165,1335,-2
"774",2015,1335,1165,7
"775",2015,1165,1343,8
"776",2015,1343,1165,13
"777",2015,1165,1463,-8
"778",2015,1463,1165,11
"779",2015,1177,1166,-13
"780",2015,1166,1177,-10
"781",2015,1207,1166,15
"782",2015,1166,1207,-27
"783",2015,1166,1266,7
"784",2015,1266,1166,1
"785",2015,1344,1166,12
"786",2015,1166,1344,-9
"787",2015,1166,1371,-1
"788",2015,1371,1166,1
"789",2015,1166,1385,3
"790",2015,1385,1166,18
"791",2015,1437,1166,21
"792",2015,1166,1437,-4
"793",2015,1462,1166,-7
"794",2015,1166,1462,-1
"795",2015,1213,1167,8
"796",2015,1167,1213,-2
"797",2015,1167,1282,2
"798",2015,1282,1167,3
"799",2015,1167,1308,-16
"800",2015,1308,1167,16
"801",2015,1167,1370,10
"802",2015,1370,1167,10
"803",2015,1167,1410,13
"804",2015,1410,1167,-12
"805",2015,1167,1430,3
"806",2015,1430,1167,5
"807",2015,1168,1169,16
"808",2015,1169,1168,10
"809",2015,1218,1168,20
"810",2015,1168,1218,-21
"811",2015,1168,1253,-6
"812",2015,1253,1168,23
"813",2015,1364,1168,19
"814",2015,1168,1364,-15
"815",2015,1168,1413,-11
"816",2015,1413,1168,6
"817",2015,1168,1414,-5
"818",2015,1414,1168,6
"819",2015,1415,1168,6
"820",2015,1168,1415,-5
"821",2015,1218,1169,15
"822",2015,1169,1218,-11
"823",2015,1169,1253,-6
"824",2015,1253,1169,11
"825",2015,1364,1169,-11
"826",2015,1169,1364,-8
"827",2015,1413,1169,10
"828",2015,1169,1413,-13
"829",2015,1169,1414,-31
"830",2015,1414,1169,9
"831",2015,1169,1415,7
"832",2015,1415,1169,4
"833",2015,1170,1186,13
"834",2015,1186,1170,3
"835",2015,1170,1225,3
"836",2015,1225,1170,11
"837",2015,1170,1294,7
"838",2015,1294,1170,11
"839",2015,1315,1170,-2
"840",2015,1170,1315,8
"841",2015,1170,1319,5
"842",2015,1319,1170,2
"843",2015,1170,1340,4
"844",2015,1340,1170,-13
"845",2015,1170,1381,15
"846",2015,1381,1170,4
"847",2015,1170,1430,9
"848",2015,1430,1170,-25
"849",2015,1217,1171,-9
"850",2015,1171,1217,-11
"851",2015,1171,1335,5
"852",2015,1335,1171,7
"853",2015,1343,1171,11
"854",2015,1171,1343,-7
"855",2015,1171,1463,1
"856",2015,1463,1171,15
"857",2015,1172,1182,26
"858",2015,1182,1172,-29
"859",2015,1203,1172,-2
"860",2015,1172,1203,11
"861",2015,1206,1172,-7
"862",2015,1172,1206,21
"863",2015,1172,1350,14
"864",2015,1350,1172,26
"865",2015,1172,1433,27
"866",2015,1433,1172,6
"867",2015,1173,1182,26
"868",2015,1182,1173,10
"869",2015,1200,1173,-18
"870",2015,1173,1200,24
"871",2015,1173,1247,11
"872",2015,1247,1173,2
"873",2015,1382,1173,-17
"874",2015,1173,1382,14
"875",2015,1173,1387,16
"876",2015,1387,1173,-7
"877",2015,1180,1174,-14
"878",2015,1174,1180,-4
"879",2015,1189,1174,12
"880",2015,1174,1189,-8
"881",2015,1220,1174,13
"882",2015,1174,1220,-10
"883",2015,1241,1174,6
"884",2015,1174,1241,-13
"885",2015,1318,1174,-5
"886",2015,1174,1318,-19
"887",2015,1174,1406,3
"888",2015,1406,1174,-5
"889",2015,1174,1423,11
"890",2015,1423,1174,1
"891",2015,1174,1456,4
"892",2015,1456,1174,-3
"893",2015,1214,1175,-3
"894",2015,1175,1214,10
"895",2015,1271,1175,-6
"896",2015,1175,1271,-4
"897",2015,1175,1354,11
"898",2015,1354,1175,4
"899",2015,1236,1176,16
"900",2015,1176,1236,-16
"901",2015,1237,1176,3
"902",2015,1176,1237,-1
"903",2015,1295,1176,7
"904",2015,1176,1295,-4
"905",2015,1176,1303,14
"906",2015,1303,1176,11
"907",2015,1176,1331,7
"908",2015,1331,1176,3
"909",2015,1176,1355,7
"910",2015,1355,1176,30
"911",2015,1377,1176,-18
"912",2015,1176,1377,-5
"913",2015,1394,1176,-16
"914",2015,1176,1394,10
"915",2015,1176,1442,14
"916",2015,1442,1176,-13
"917",2015,1177,1207,-6
"918",2015,1207,1177,5
"919",2015,1177,1266,3
"920",2015,1266,1177,10
"921",2015,1344,1177,11
"922",2015,1177,1344,-27
"923",2015,1371,1177,-4
"924",2015,1177,1371,13
"925",2015,1177,1385,4
"926",2015,1385,1177,8
"927",2015,1437,1177,17
"928",2015,1177,1437,-13
"929",2015,1177,1462,3
"930",2015,1462,1177,13
"931",2015,1227,1178,-1
"932",2015,1178,1227,-10
"933",2015,1178,1324,20
"934",2015,1324,1178,5
"935",2015,1178,1434,3
"936",2015,1434,1178,8
"937",2015,1178,1453,-6
"938",2015,1453,1178,20
"939",2015,1178,1454,16
"940",2015,1454,1178,4
"941",2015,1460,1178,13
"942",2015,1178,1460,-11
"943",2015,1179,1191,5
"944",2015,1191,1179,9
"945",2015,1229,1179,36
"946",2015,1179,1229,-8
"947",2015,1179,1232,6
"948",2015,1232,1179,21
"949",2015,1260,1179,3
"950",2015,1179,1260,-5
"951",2015,1179,1283,35
"952",2015,1283,1179,25
"953",2015,1179,1320,-24
"954",2015,1320,1179,16
"955",2015,1179,1356,2
"956",2015,1356,1179,6
"957",2015,1179,1455,-8
"958",2015,1455,1179,34
"959",2015,1189,1180,-4
"960",2015,1180,1189,-10
"961",2015,1220,1180,28
"962",2015,1180,1220,-24
"963",2015,1180,1241,-19
"964",2015,1241,1180,4
"965",2015,1180,1318,5
"966",2015,1318,1180,10
"967",2015,1406,1180,-14
"968",2015,1180,1406,4
"969",2015,1180,1423,9
