"","season","daynum","wteam","wscore","lteam","lscore","wloc","numot","wfgm","wfga","wfgm3","wfga3","wftm","wfta","wor","wdr","wast","wto","wstl","wblk","wpf","lfgm","lfga","lfgm3","lfga3","lftm","lfta","lor","ldr","last","lto","lstl","lblk","lpf"
"17",2015,93,1102,53,1307,49,"H",0,19,47,7,26,8,14,3,17,16,8,8,3,14,17,42,9,23,6,12,6,29,12,14,4,5,15
"18",2015,72,1307,60,1102,48,"H",0,19,38,6,20,16,23,7,22,17,16,7,4,20,16,46,6,22,10,16,7,15,11,12,9,0,19
"19",2015,58,1361,53,1102,49,"H",0,22,61,4,21,5,10,11,16,12,9,6,4,14,19,43,1,11,10,13,5,19,5,17,6,3,14
"20",2015,78,1361,77,1102,45,"A",0,28,48,13,22,8,14,9,22,20,11,11,6,12,18,45,3,18,6,12,4,7,9,12,6,2,16
"21",2015,65,1102,78,1363,56,"H",0,33,54,8,17,4,8,4,25,23,11,6,1,13,22,49,9,27,3,8,4,18,11,14,6,2,13
"22",2015,86,1102,66,1363,52,"A",0,19,45,7,16,21,25,7,21,13,10,6,1,18,17,44,6,18,12,16,4,13,11,14,5,4,23
"23",2015,103,1102,76,1424,75,"H",0,25,59,12,25,14,21,11,16,24,5,7,1,12,28,55,9,25,10,12,12,28,22,15,0,6,17
"24",2015,89,1424,74,1102,63,"H",0,24,52,9,24,17,24,9,17,16,5,6,6,9,23,52,10,22,7,8,8,18,12,14,1,1,19
"25",2015,75,1429,71,1102,59,"H",0,26,48,13,23,6,9,2,22,22,8,4,4,13,22,53,9,22,6,11,9,28,13,10,6,2,16
"26",2015,117,1429,74,1102,60,"A",0,24,50,8,26,18,20,5,30,13,10,4,7,18,25,62,4,21,6,14,9,24,10,7,7,1,22
"27",2015,72,1103,67,1132,50,"H",0,24,44,8,25,11,21,6,25,13,16,10,8,13,20,61,4,20,6,11,14,23,8,13,11,1,18
"28",2015,89,1103,69,1132,68,"A",0,23,57,9,33,14,22,12,25,12,13,10,3,23,20,52,6,21,22,28,7,20,13,15,7,2,19
"29",2015,96,1103,75,1138,72,"H",0,25,54,10,24,15,26,6,20,17,9,5,4,17,28,61,4,17,12,14,9,24,10,11,6,2,20
"30",2015,113,1138,67,1103,62,"H",0,21,63,3,13,22,32,20,19,14,6,9,7,15,25,58,5,19,7,10,13,15,11,15,4,6,24
"31",2015,99,1103,61,1245,52,"H",0,22,55,6,19,11,14,6,19,13,5,8,4,15,17,48,7,21,11,18,10,31,9,13,1,2,14
"32",2015,123,1245,79,1103,77,"H",0,23,47,8,14,25,35,9,21,9,6,4,5,15,27,58,14,29,9,14,9,20,15,8,1,2,24
"33",2015,110,1275,57,1103,52,"A",1,21,57,3,12,12,17,6,24,12,10,11,1,17,19,59,7,32,7,12,13,37,11,20,8,2,15
"34",2015,120,1275,70,1103,63,"H",0,20,52,2,16,28,34,14,19,10,13,7,1,16,23,52,11,27,6,13,11,16,9,18,8,5,23
"35",2015,126,1103,76,1296,52,"H",0,26,51,14,30,10,15,9,19,14,16,5,5,14,20,51,3,15,9,16,10,15,6,14,8,3,13
"36",2015,79,1296,64,1103,61,"H",0,21,41,3,6,19,28,6,24,8,17,11,2,14,22,60,9,28,8,13,14,23,11,14,13,3,17
"37",2015,116,1103,70,1325,58,"H",0,23,54,11,28,13,20,8,19,16,9,6,5,17,17,53,6,26,18,20,10,22,6,9,5,5,17
"38",2015,93,1325,83,1103,82,"H",0,28,54,11,18,16,24,10,20,10,11,9,5,11,32,69,18,36,0,6,11,19,17,12,6,4,14
"39",2015,67,1405,84,1103,67,"H",0,27,48,9,11,21,32,8,26,16,11,6,1,15,23,57,8,27,13,15,7,17,10,10,7,3,26
"40",2015,107,1405,68,1103,66,"A",0,25,55,3,14,15,20,7,21,10,10,5,0,13,24,61,8,29,10,12,10,25,13,9,6,4,18
"41",2015,64,1103,72,1444,52,"H",0,27,56,10,28,8,13,10,22,15,9,5,6,20,18,51,9,21,7,15,7,13,13,10,5,1,15
"42",2015,82,1103,71,1444,69,"A",0,24,56,9,21,14,18,5,30,9,13,1,1,25,24,56,7,17,14,27,8,29,11,10,5,4,19
"43",2015,82,1104,57,1120,55,"H",0,20,45,5,18,12,16,8,19,8,11,4,8,19,20,51,3,11,12,15,6,13,6,11,2,1,19
"44",2015,106,1104,79,1120,68,"A",0,27,51,9,21,16,21,7,30,13,17,7,4,18,22,56,8,22,16,19,4,15,12,11,7,2,20
"45",2015,75,1246,70,1104,48,"A",0,23,46,8,17,16,18,9,19,14,9,5,3,13,20,45,5,18,3,7,6,10,4,15,4,4,19
"46",2015,89,1246,70,1104,55,"H",0,24,41,7,15,15,23,4,15,14,5,5,1,22,17,37,4,16,17,25,8,16,4,13,2,1,19
"47",2015,113,1104,59,1376,51,"H",0,21,42,6,19,11,16,6,19,12,10,4,4,13,19,55,7,30,6,8,14,24,13,12,4,0,16
"48",2015,71,1376,68,1104,66,"H",0,22,53,3,14,21,27,12,20,9,12,5,1,27,20,41,6,17,20,30,4,10,13,12,4,4,27
"49",2015,64,1104,65,1401,44,"H",0,21,47,5,23,18,25,9,27,10,8,8,4,15,16,52,6,22,6,7,9,22,11,14,1,0,20
"50",2015,124,1104,61,1401,60,"A",0,23,52,6,21,9,16,8,19,8,11,4,5,15,20,50,8,24,12,15,8,22,14,12,7,2,19
"51",2015,103,1435,76,1104,68,"A",0,21,44,6,15,28,35,3,25,10,6,3,5,17,23,58,11,24,11,17,12,33,11,7,4,3,24
"52",2015,117,1435,73,1104,66,"H",0,21,51,11,19,20,25,10,17,13,8,4,4,14,26,58,6,18,8,10,12,22,11,11,7,4,21
"53",2015,103,1105,80,1106,71,"A",0,26,56,6,19,22,34,10,22,13,9,6,2,20,24,59,7,19,16,23,11,22,13,12,2,1,24
"54",2015,75,1106,59,1105,56,"A",0,24,58,2,11,9,21,14,20,9,12,13,0,14,21,55,8,25,6,13,13,24,12,21,2,2,19
"55",2015,84,1105,78,1108,66,"H",0,27,54,6,15,18,31,10,31,22,14,5,3,21,24,68,6,20,12,27,16,24,14,11,9,1,20
"56",2015,112,1105,73,1108,69,"A",0,24,56,6,19,19,26,10,27,10,8,3,1,17,22,62,7,18,18,29,7,20,9,5,4,2,19
"57",2015,70,1105,51,1115,48,"A",0,17,51,9,23,8,15,11,18,11,12,3,1,11,22,48,1,10,3,12,10,25,4,12,7,6,15
"58",2015,98,1115,53,1105,42,"A",0,17,44,6,19,13,19,7,17,13,12,10,3,19,12,43,2,20,16,28,11,23,8,16,7,4,17
"59",2015,63,1105,67,1212,46,"H",0,24,49,5,17,14,18,8,20,17,9,5,1,18,17,47,2,8,10,17,12,17,6,14,3,0,19
"60",2015,124,1105,70,1212,66,"A",0,24,63,5,12,17,25,16,20,16,11,9,2,13,26,58,4,20,10,16,10,15,15,13,5,10,17
"61",2015,61,1238,70,1105,67,"A",0,22,50,6,16,20,26,10,20,11,11,2,2,24,21,47,6,21,19,29,9,12,15,13,4,3,26
"62",2015,122,1238,72,1105,54,"H",0,28,56,4,14,12,20,16,27,15,13,5,5,17,15,51,9,27,15,17,9,6,10,13,5,1,20
"63",2015,68,1105,86,1290,73,"A",0,26,49,10,18,24,31,10,20,7,8,5,1,14,28,61,6,18,11,16,14,19,8,12,2,1,22
"64",2015,96,1105,74,1290,68,"H",0,24,59,9,26,17,28,13,27,16,14,8,2,16,29,68,3,13,7,16,15,27,11,17,7,0,22
"65",2015,89,1341,89,1105,63,"H",0,36,65,7,15,10,14,9,22,17,14,11,4,22,23,57,1,16,16,28,14,26,9,21,8,0,19
"66",2015,117,1341,75,1105,72,"A",0,24,52,4,13,23,32,11,19,6,9,7,3,31,22,62,3,23,25,33,18,29,11,11,4,3,25
"67",2015,82,1380,65,1105,58,"A",0,19,47,3,8,24,30,7,25,7,13,9,3,17,22,61,7,25,7,17,17,30,14,15,9,6,25
"68",2015,110,1380,72,1105,63,"H",0,30,59,6,20,6,19,12,20,12,12,4,5,24,21,55,5,21,16,24,11,20,8,8,10,4,19
"69",2015,91,1411,68,1105,65,"H",1,24,51,8,19,12,18,9,21,11,13,4,8,13,24,68,4,17,13,16,16,26,9,7,9,4,18
"70",2015,119,1411,77,1105,75,"A",0,28,55,8,15,13,20,9,12,9,11,7,2,17,25,46,7,20,18,22,5,16,16,15,4,3,20
"71",2015,82,1106,84,1108,60,"H",0,32,70,5,15,15,25,17,33,18,12,4,4,20,21,56,1,11,17,23,7,12,7,15,5,4,19
"72",2015,110,1106,71,1108,67,"A",0,25,50,9,15,12,19,9,22,11,13,4,1,15,23,64,8,24,13,18,9,17,11,6,7,1,15
"73",2015,68,1106,74,1115,71,"A",0,24,48,8,13,18,25,12,21,14,16,4,3,11,28,59,10,28,5,8,7,9,16,9,9,3,21
"74",2015,96,1106,73,1115,55,"H",0,18,46,7,18,30,41,8,17,9,13,10,1,15,20,41,5,13,10,15,5,19,13,19,9,2,28
"75",2015,61,1106,71,1212,50,"H",0,29,62,4,17,9,20,10,25,14,10,8,6,14,17,53,3,19,13,20,10,28,7,18,7,1,18
"76",2015,122,1106,78,1212,46,"A",0,31,60,7,23,9,14,5,27,25,7,5,6,13,17,55,0,11,12,18,10,29,5,10,6,0,12
"77",2015,63,1106,72,1238,52,"H",0,24,51,6,15,18,24,9,30,12,11,3,9,22,16,60,2,19,18,25,12,24,3,10,5,3,24
"78",2015,124,1106,62,1238,42,"A",0,23,45,8,18,8,9,7,32,11,24,6,6,15,17,57,1,14,7,16,11,16,10,11,12,1,14
"79",2015,70,1106,88,1290,76,"A",0,35,68,5,15,13,19,8,21,22,10,8,1,22,23,53,5,17,25,36,10,22,13,14,6,3,20
"80",2015,98,1106,65,1290,57,"H",0,25,56,7,22,8,12,11,19,10,18,8,1,15,22,48,6,15,7,16,9,18,8,22,9,1,11
"81",2015,91,1106,73,1341,71,"A",0,26,54,8,22,13,18,12,20,14,18,9,6,18,27,58,7,16,10,15,10,13,8,17,11,0,19
"82",2015,119,1341,67,1106,65,"A",0,26,58,6,15,9,15,6,24,10,9,10,4,17,24,63,7,19,10,19,15,38,13,14,3,4,16
"83",2015,84,1106,63,1380,59,"H",1,22,67,2,12,17,27,19,25,9,7,6,4,14,25,68,4,18,5,9,11,16,12,10,4,5,22
"84",2015,112,1106,56,1380,54,"A",0,18,53,4,11,16,24,9,26,9,16,3,5,17,21,55,4,14,8,14,9,23,9,14,5,3,21
"85",2015,89,1411,80,1106,65,"H",0,30,55,10,18,10,14,8,22,13,8,6,6,14,25,58,4,10,11,16,7,15,12,9,4,2,14
"86",2015,117,1411,58,1106,49,"A",0,21,48,6,19,10,16,5,25,9,17,6,3,20,18,52,1,14,12,18,7,21,8,10,6,3,13
"87",2015,72,1107,73,1127,58,"H",0,24,54,8,19,17,20,9,20,13,6,5,1,10,21,50,7,17,9,12,8,14,9,12,2,2,17
"88",2015,99,1107,62,1127,46,"A",0,24,52,4,15,10,16,13,26,15,11,2,0,19,14,44,7,22,11,16,3,5,5,6,5,2,17
"89",2015,80,1107,62,1216,53,"A",0,21,46,1,11,19,21,8,24,9,11,6,2,12,19,52,8,30,7,12,5,12,11,12,5,2,18
"90",2015,109,1107,70,1216,64,"H",0,20,46,5,18,25,30,9,19,10,10,5,0,12,24,46,10,24,6,8,4,10,13,11,4,3,23
"91",2015,68,1107,64,1262,51,"A",0,17,38,8,19,22,25,4,21,12,16,6,1,20,18,47,5,16,10,15,6,12,9,15,7,1,21
"92",2015,96,1107,69,1262,59,"H",0,21,40,9,18,18,27,5,26,15,17,4,0,20,18,48,7,26,16,21,5,15,11,15,10,0,20
"93",2015,16,1107,65,1312,48,"H",0,22,56,5,20,16,19,8,32,9,16,10,4,21,15,53,6,28,12,21,9,24,10,18,4,0,17
"94",2015,102,1107,65,1312,59,"A",0,22,48,6,18,15,21,7,26,8,11,4,2,14,20,54,9,29,10,14,8,21,11,9,4,4,17
"95",2015,83,1107,69,1420,55,"H",0,23,49,7,22,16,21,10,21,12,9,7,1,19,18,41,7,14,12,14,2,8,10,15,4,1,15
"96",2015,114,1107,67,1420,49,"A",0,26,53,7,20,8,14,11,25,12,13,9,2,19,17,43,4,12,11,17,3,7,11,12,4,2,13
"97",2015,86,1107,47,1436,44,"A",0,19,53,3,11,6,11,10,29,6,13,5,1,18,14,46,4,20,12,16,3,16,9,10,8,8,19
"98",2015,117,1107,79,1436,73,"H",0,22,42,6,9,29,38,4,17,9,13,9,3,20,27,59,4,16,15,27,14,30,17,16,7,3,26
"99",2015,77,1115,54,1108,49,"A",0,18,53,4,16,14,17,13,20,7,10,5,2,17,13,44,1,15,22,29,14,20,5,14,9,3,13
"100",2015,106,1115,74,1108,70,"H",0,26,51,8,18,14,23,9,22,13,21,6,12,15,27,64,7,18,9,16,12,21,14,15,9,3,21
"101",2015,70,1108,72,1212,70,"A",0,26,56,4,16,16,25,7,21,8,14,12,1,19,24,55,5,13,17,22,8,25,8,13,8,0,22
"102",2015,98,1108,91,1212,77,"H",0,29,54,10,20,23,31,7,24,10,15,4,2,19,26,63,7,16,18,28,10,20,7,10,5,1,21
"103",2015,68,1238,64,1108,54,"H",0,20,52,3,12,21,31,11,34,7,15,1,1,22,17,53,4,18,16,25,2,11,7,8,8,2,20
"104",2015,96,1238,64,1108,61,"A",0,24,54,7,16,9,16,6,25,7,9,6,2,21,20,49,5,18,16,28,7,24,11,7,5,1,16
"105",2015,75,1108,87,1290,67,"H",0,31,54,8,18,17,23,4,29,12,5,5,3,9,27,69,5,17,8,10,12,28,8,7,4,1,14
"106",2015,103,1290,76,1108,60,"H",0,32,63,5,12,7,14,8,20,12,15,8,0,15,24,50,3,15,9,14,9,15,5,9,6,6,14
"107",2015,63,1108,68,1341,62,"H",0,21,48,1,14,25,37,10,24,7,11,6,4,14,25,61,4,18,8,12,13,24,8,12,4,2,23
"108",2015,124,1341,83,1108,80,"H",0,30,60,9,21,14,19,12,17,11,13,7,5,16,32,61,8,16,8,16,10,14,13,13,5,4,19
"109",2015,89,1380,65,1108,56,"A",0,20,46,2,9,23,37,10,26,6,8,6,5,15,20,61,1,15,15,24,10,25,2,13,5,2,21
"110",2015,117,1380,71,1108,63,"H",0,22,43,4,12,23,27,8,29,11,13,3,7,19,18,59,9,32,18,26,11,14,7,6,7,1,20
"111",2015,61,1411,72,1108,55,"A",0,24,49,6,14,18,26,8,24,10,10,7,0,12,21,57,5,21,8,11,11,18,8,13,3,1,21
"112",2015,122,1411,94,1108,73,"H",0,33,52,6,15,22,30,6,22,17,7,3,2,21,23,53,8,22,19,24,8,14,8,10,3,3,23
"113",2015,84,1119,68,1110,66,"A",0,26,56,9,21,7,15,6,20,18,10,3,0,19,24,44,5,18,13,21,2,19,19,10,5,4,17
"114",2015,111,1119,72,1110,63,"H",0,23,44,6,12,20,32,7,27,14,8,4,4,18,24,58,7,23,8,11,7,19,11,8,5,0,25
"115",2015,79,1131,59,1110,54,"H",0,20,44,6,17,13,18,5,16,9,8,11,1,14,19,43,7,21,9,12,7,19,14,13,2,2,14
"116",2015,107,1131,61,1110,53,"A",0,20,41,4,13,17,24,3,24,6,14,3,4,17,18,54,7,27,10,14,9,24,12,9,5,2,19
"117",2015,58,1137,57,1110,47,"H",0,19,47,4,15,15,25,10,21,9,8,4,1,12,16,42,6,18,9,10,1,11,9,8,2,4,20
"118",2015,117,1137,71,1110,69,"A",0,26,47,5,13,14,21,7,22,8,10,3,3,20,24,51,6,17,15,18,6,15,13,4,2,2,16
"119",2015,61,1110,53,1221,49,"H",0,15,33,2,12,21,33,3,23,10,13,5,1,13,19,55,3,12,8,14,14,32,7,12,9,4,28
"120",2015,91,1110,57,1221,50,"A",0,20,43,10,17,7,9,5,15,13,8,5,0,13,20,39,3,11,7,12,6,20,7,10,4,4,15
"121",2015,93,1110,64,1259,49,"H",0,21,35,3,9,19,23,2,20,14,11,7,2,13,20,50,3,12,6,9,10,23,6,11,7,1,21
"122",2015,65,1259,56,1110,53,"H",1,20,46,4,12,12,18,7,21,12,15,6,1,22,17,44,3,15,16,23,6,20,5,15,4,4,16
"123",2015,114,1110,68,1298,49,"H",0,22,39,7,14,17,23,5,16,17,6,8,2,10,19,51,3,14,8,13,14,23,8,13,4,4,20
"124",2015,86,1298,64,1110,54,"H",0,24,37,6,9,10,14,5,13,19,14,6,1,20,17,31,5,13,15,22,4,9,12,12,8,2,13
"125",2015,68,1114,64,1111,46,"H",0,26,51,2,8,10,10,6,24,13,10,4,2,17,16,53,5,17,9,12,9,22,9,11,2,0,12
"126",2015,101,1114,79,1111,74,"A",0,29,50,4,11,17,29,6,26,13,12,7,0,21,23,49,8,23,20,26,5,20,14,14,5,1,25
"127",2015,61,1111,74,1117,73,"A",0,29,64,6,17,10,19,15,23,7,11,5,1,12,27,63,6,13,13,14,13,19,17,10,5,2,13
"128",2015,73,1117,59,1111,50,"A",0,20,55,5,12,14,18,9,29,11,12,8,7,16,17,58,4,23,12,21,12,29,10,14,6,2,18
"129",2015,87,1204,83,1111,46,"H",0,33,63,12,23,5,9,8,22,8,7,14,6,16,17,59,2,19,10,13,16,26,6,18,0,4,11
"130",2015,115,1204,77,1111,58,"A",0,28,58,4,13,17,24,13,23,14,7,9,2,18,20,50,6,22,12,16,6,10,11,12,4,3,17
"131",2015,75,1111,74,1209,69,"H",0,22,60,12,29,18,24,12,18,16,6,5,1,20,26,46,3,10,14,23,5,15,8,10,3,3,24
"132",2015,110,1209,87,1111,43,"H",0,32,55,5,12,18,22,5,28,21,6,12,6,16,16,55,6,24,5,9,9,21,13,18,2,2,17
"133",2015,80,1111,64,1375,53,"H",0,25,61,8,24,6,9,12,27,14,11,3,3,17,18,50,2,11,15,19,4,16,7,11,6,1,13
"134",2015,66,1375,104,1111,95,"H",0,30,49,10,17,34,44,4,25,16,11,4,1,25,31,67,10,20,23,28,11,23,14,8,2,1,28
"135",2015,82,1111,64,1402,58,"A",0,22,54,7,17,13,19,9,23,8,12,6,5,20,21,57,3,17,13,18,9,19,9,10,4,5,22
"136",2015,122,1111,67,1402,64,"H",0,24,53,9,23,10,13,6,23,14,12,6,1,23,22,54,5,15,15,22,12,28,8,13,5,2,18
"137",2015,77,1111,69,1407,64,"A",0,23,60,11,26,12,18,14,19,17,15,5,1,20,25,62,6,24,8,15,14,24,8,13,11,1,20
"138",2015,96,1111,65,1407,62,"H",0,23,51,8,19,11,20,8,29,15,13,5,1,19,22,55,5,17,13,20,7,21,11,9,5,0,19
"139",2015,63,1418,80,1111,64,"A",0,31,60,4,12,14,19,10,27,18,13,10,7,21,25,64,4,16,10,17,11,22,8,13,5,1,16
"140",2015,94,1418,81,1111,66,"H",0,28,57,7,22,18,21,9,27,16,14,4,4,17,25,64,8,21,8,10,10,21,8,14,4,3,20
"141",2015,117,1111,66,1419,43,"H",0,24,49,8,22,10,14,8,23,15,8,6,4,10,19,56,4,19,1,3,8,16,9,12,4,3,14
"142",2015,103,1419,69,1111,58,"H",0,27,53,4,14,11,18,6,26,17,9,2,5,21,19,55,4,15,16,22,10,26,8,11,2,0,18
"143",2015,124,1111,72,1426,60,"H",0,23,51,9,26,17,22,8,20,14,13,8,4,21,23,54,3,15,11,19,11,25,9,19,5,0,27
"144",2015,108,1426,81,1111,68,"H",0,29,59,8,20,15,22,8,21,14,18,10,5,23,21,47,6,21,20,26,5,21,11,25,7,1,18
"145",2015,62,1112,73,1113,49,"H",0,26,51,5,10,16,19,8,24,14,15,5,3,20,14,43,5,17,16,19,3,12,7,22,6,0,21
"146",2015,96,1113,81,1112,78,"H",0,26,52,7,15,22,28,8,24,12,13,5,3,20,32,71,6,16,8,14,13,24,12,12,4,3,25
"147",2015,82,1112,73,1143,50,"A",0,24,49,2,5,23,26,6,23,9,13,6,1,14,23,53,3,12,1,4,4,16,13,18,3,2,21
"148",2015,122,1112,99,1143,60,"H",0,38,67,4,11,19,32,10,31,23,6,9,6,15,24,63,3,10,9,12,7,22,7,16,2,4,24
"149",2015,73,1112,68,1160,54,"H",0,23,55,7,18,15,19,12,27,16,8,4,3,15,21,49,7,18,5,10,3,9,8,8,4,1,20
"150",2015,115,1112,82,1160,54,"A",0,27,51,5,10,23,25,8,25,14,11,6,3,19,20,52,2,9,12,21,6,14,6,12,4,8,16
"151",2015,66,1112,80,1332,62,"A",0,27,56,2,11,24,30,10,28,9,12,7,2,21,20,56,4,20,18,22,7,15,7,13,8,7,20
"152",2015,86,1112,90,1332,56,"H",0,35,59,6,15,14,17,9,23,16,10,7,2,16,19,47,5,16,13,20,2,8,9,14,5,1,14
"153",2015,88,1112,57,1333,34,"H",0,20,49,4,12,13,16,7,24,11,15,12,5,11,14,49,3,15,3,5,7,17,6,16,6,7,19
"154",2015,69,1333,58,1112,56,"H",0,20,39,5,11,13,17,3,28,8,9,4,4,18,17,45,4,17,18,27,6,21,8,5,5,3,16
"155",2015,80,1112,89,1390,82,"A",0,30,54,5,12,24,36,7,17,10,10,6,3,23,25,50,8,20,24,31,5,18,8,14,6,2,28
"156",2015,124,1112,91,1390,69,"H",0,29,54,8,17,25,32,9,27,20,13,7,2,23,19,51,7,18,24,31,5,13,10,14,2,0,26
"157",2015,75,1112,69,1428,51,"H",0,26,53,1,7,16,24,16,22,11,10,4,4,18,16,41,9,19,10,14,3,1,13,11,4,4,18
"158",2015,117,1112,63,1428,57,"A",0,17,51,2,12,27,37,14,25,7,8,3,7,20,17,55,7,22,16,21,8,13,11,9,3,6,26
"159",2015,80,1113,79,1143,44,"A",0,26,54,10,21,17,26,6,26,12,10,8,3,17,15,45,2,11,12,16,4,20,6,19,4,4,21
"160",2015,124,1113,74,1143,70,"H",0,26,57,3,9,19,30,8,28,15,11,7,7,16,28,64,6,15,8,15,8,26,14,10,7,6,23
"161",2015,75,1113,78,1160,72,"H",0,26,47,10,20,16,24,3,24,20,14,6,3,17,26,56,10,21,10,17,8,29,16,12,6,2,23
"162",2015,118,1160,87,1113,81,"H",0,29,49,4,7,25,33,6,24,14,11,6,5,29,24,50,8,20,25,39,9,22,12,12,6,3,27
"163",2015,68,1332,59,1113,56,"H",0,23,46,3,12,10,14,3,22,10,15,3,8,26,19,47,3,17,15,26,8,25,9,15,8,0,19
"164",2015,88,1332,68,1113,67,"A",1,26,57,4,12,12,14,5,27,10,12,3,3,16,26,61,8,27,7,15,7,27,12,14,7,1,19
"165",2015,86,1113,73,1333,55,"H",0,23,49,9,24,18,23,7,21,13,13,5,3,15,25,51,2,9,3,8,3,13,12,13,6,6,24
"166",2015,66,1333,55,1113,47,"H",0,16,41,3,8,20,25,10,17,10,15,6,3,17,17,43,4,21,9,16,8,13,11,16,5,2,21
"167",2015,122,1113,67,1390,62,"H",0,24,50,3,15,16,21,7,19,8,13,8,3,20,22,55,6,19,12,16,12,25,12,16,4,0,21
"168",2015,82,1390,89,1113,70,"H",0,31,53,8,14,19,27,6,26,21,8,6,2,19,27,62,8,21,8,14,7,19,15,9,2,0,20
"169",2015,73,1428,76,1113,59,"A",0,22,41,9,17,23,30,5,23,15,12,6,2,17,22,56,9,24,6,10,12,22,13,13,6,1,25
"170",2015,115,1428,83,1113,41,"H",0,31,49,8,14,13,20,6,23,16,9,8,11,16,14,50,3,16,10,13,8,14,6,14,3,0,21
"171",2015,87,1114,75,1117,65,"A",0,24,54,8,16,19,26,7,18,11,7,13,0,16,24,53,7,16,10,15,11,31,11,19,4,5,20
"172",2015,108,1114,70,1117,57,"H",0,26,57,8,23,10,12,6,22,17,6,4,4,11,22,55,5,14,8,9,10,24,10,13,1,2,16
"173",2015,89,1204,76,1114,61,"H",0,27,56,12,28,10,24,14,16,15,9,6,3,16,21,59,6,22,13,18,15,22,8,14,5,0,17
"174",2015,103,1204,72,1114,70,"A",1,24,48,9,22,15,26,8,23,15,20,3,1,25,22,55,9,25,17,26,12,23,12,15,4,2,18
"175",2015,115,1114,92,1209,83,"H",0,31,62,14,30,16,25,11,20,20,8,6,3,16,29,60,4,16,21,21,9,20,12,10,7,2,17
"176",2015,61,1209,82,1114,69,"H",0,27,49,6,14,22,30,11,19,14,11,13,3,14,22,52,12,30,13,16,10,13,19,17,5,4,23
"177",2015,63,1375,72,1114,69,"A",0,22,46,7,17,21,29,5,23,16,12,0,5,19,22,54,7,18,18,20,5,21,14,8,5,1,23
"178",2015,77,1375,66,1114,64,"H",0,21,47,5,14,19,28,6,25,11,18,6,3,19,24,62,4,22,12,22,15,35,6,11,5,2,22
"179",2015,96,1114,69,1402,61,"H",0,23,51,7,18,16,21,13,27,11,13,3,3,23,19,53,5,19,18,27,11,14,7,7,3,1,19
"180",2015,66,1402,77,1114,74,"H",2,23,66,8,25,23,31,10,28,14,11,7,4,21,26,69,5,23,17,24,13,32,12,14,7,4,27
"181",2015,80,1114,73,1407,65,"H",0,26,55,8,19,13,20,8,30,15,8,4,2,19,23,56,9,27,10,21,10,27,6,11,3,0,19
"182",2015,110,1114,63,1407,58,"A",0,22,53,7,16,12,13,9,23,10,12,5,0,19,18,49,5,21,17,24,8,19,6,11,8,3,15
"183",2015,57,1418,83,1114,79,"A",1,28,65,8,21,19,26,13,30,17,12,1,3,17,31,71,6,20,11,18,12,22,13,7,5,8,20
