"","result.alien","diff.score.at.home"
"564","0",11
"565","0",3
"566","0",31
"567","0",11
"568","0",9
"569","0",13
"570","0",10
"571","0",4
"572","0",11
"573","1",22
"574","0",-12
"575","1",14
"576","0",-1
"577","0",-8
"578","1",26
"579","1",-8
"580","1",-7
"581","0",-5
"582","1",13
"583","0",16
"584","0",16
"585","0",-7
"586","1",4
"587","1",-1
"588","1",-5
"589","1",8
"590","0",-4
"591","0",-19
"592","1",5
"593","0",-3
"594","1",8
"595","1",12
"596","0",-3
"597","0",13
"598","0",3
"599","0",-6
"600","1",7
"601","1",9
"602","0",-3
"603","1",22
"604","0",-4
"605","0",6
"606","0",3
"607","1",-10
"608","1",-4
"609","0",-16
"610","1",13
"611","0",-1
"612","1",4
"613","1",2
"614","0",-11
"615","0",-8
"616","1",4
"617","0",-8
"618","1",26
"619","0",5
"620","0",5
"621","0",21
"622","0",16
"623","0",12
"624","0",6
"625","0",21
"626","0",4
"627","1",13
"628","0",-10
"629","0",12
"630","0",13
"631","1",6
"632","0",-8
"633","0",31
"634","0",16
"635","1",-16
"636","1",-1
"637","0",-10
"638","1",23
"639","0",1
"640","0",11
"641","1",-6
"642","1",-12
"643","1",23
"644","0",-23
"645","1",10
"646","0",-1
"647","1",-2
"648","1",-16
"649","1",10
"650","0",-15
"651","1",8
"652","0",-13
"653","0",3
"654","0",26
"655","1",-6
"656","1",-4
"657","0",7
"658","0",11
"659","1",-11
"660","1",-5
"661","0",-2
"662","1",14
"663","0",4
"664","0",1
"665","0",-5
"666","1",8
"667","0",4
"668","0",3
"669","1",14
"670","0",-5
"671","0",27
"672","0",6
"673","0",-5
"674","1",16
"675","0",-13
"676","1",13
"677","0",-15
"678","1",5
"679","0",-15
"680","1",40
"681","1",6
"682","0",-13
"683","0",11
"684","0",11
"685","1",14
"686","0",-14
"687","0",-6
"688","1",3
"689","1",2
"690","0",-14
"691","0",-16
"692","1",14
"693","0",-5
"694","1",33
"695","0",-11
"696","1",7
"697","1",2
"698","0",-9
"699","1",4
"700","0",-3
"701","0",-2
"702","1",13
"703","0",8
"704","0",30
"705","0",14
"706","0",10
"707","1",-12
"708","1",-5
"709","0",-7
"710","1",6
"711","0",1
"712","0",2
"713","0",6
"714","0",13
"715","1",21
"716","0",-4
"717","1",25
"718","0",-28
"719","1",-17
"720","1",-2
"721","0",32
"722","0",5
"723","1",23
"724","0",-8
"725","1",56
"726","0",-16
"727","0",11
"728","0",13
"729","0",6
"730","0",9
"731","0",-29
"732","1",16
"733","0",-6
"734","1",11
"735","1",-3
"736","1",-10
"737","1",12
"738","0",-13
"739","1",4
"740","0",-10
"741","0",27
"742","0",8
"743","0",-12
"744","1",2
"745","1",1
"746","0",-9
"747","1",-6
"748","1",-4
"749","1",13
"750","0",-11
"751","1",3
"752","0",-1
"753","0",8
"754","0",18
"755","0",-4
"756","1",12
"757","0",-9
"758","1",7
"759","0",25
"760","0",8
"761","1",-4
"762","1",-12
"763","1",2
"764","0",-17
"765","1",13
"766","0",-11
"767","1",19
"768","0",-18
"769","1",-9
"770","1",-11
"771","0",8
"772","0",21
"773","0",-2
"774","1",7
"775","0",8
"776","0",13
"777","0",-8
"778","1",11
"779","1",-13
"780","1",-10
"781","1",15
"782","0",-27
"783","0",7
"784","0",1
"785","1",12
"786","0",-9
"787","0",-1
"788","1",1
"789","0",3
"790","0",18
"791","1",21
"792","0",-4
"793","1",-7
"794","1",-1
"795","1",8
"796","0",-2
"797","0",2
"798","0",3
"799","0",-16
"800","1",16
"801","0",10
"802","0",10
"803","1",13
"804","0",-12
"805","0",3
"806","0",5
"807","0",16
"808","0",10
"809","1",20
"810","0",-21
"811","0",-6
"812","1",23
"813","1",19
"814","0",-15
"815","0",-11
"816","1",6
"817","0",-5
"818","1",6
"819","1",6
"820","0",-5
"821","1",15
"822","0",-11
"823","0",-6
"824","1",11
"825","1",-11
"826","1",-8
"827","1",10
"828","0",-13
"829","0",-31
"830","1",9
"831","0",7
"832","0",4
"833","0",13
"834","0",3
"835","0",3
"836","0",11
"837","0",7
"838","0",11
"839","0",-2
"840","1",8
"841","0",5
"842","0",2
"843","1",4
"844","0",-13
"845","0",15
"846","0",4
"847","1",9
"848","0",-25
"849","1",-9
"850","1",-11
"851","0",5
"852","0",7
"853","1",11
"854","0",-7
"855","0",1
"856","0",15
"857","1",26
"858","0",-29
"859","0",-2
"860","1",11
"861","0",-7
"862","1",21
"863","0",14
"864","0",26
"865","0",27
"866","0",6
"867","0",26
"868","0",10
"869","0",-18
"870","1",24
"871","0",11
"872","0",2
"873","0",-17
"874","1",14
"875","1",16
"876","0",-7
"877","1",-14
"878","1",-4
"879","1",12
"880","0",-8
"881","1",13
"882","0",-10
"883","1",6
"884","0",-13
"885","1",-5
"886","1",-19
"887","1",3
"888","0",-5
"889","0",11
"890","0",1
"891","1",4
"892","0",-3
"893","0",-3
"894","1",10
"895","1",-6
"896","1",-4
"897","0",11
"898","0",4
"899","1",16
"900","0",-16
"901","1",3
"902","0",-1
"903","1",7
"904","0",-4
"905","0",14
"906","0",11
"907","0",7
"908","0",3
"909","0",7
"910","0",30
"911","1",-18
"912","1",-5
"913","0",-16
"914","1",10
"915","1",14
"916","0",-13
"917","0",-6
"918","1",5
"919","0",3
"920","0",10
"921","1",11
"922","0",-27
"923","0",-4
"924","1",13
"925","0",4
"926","0",8
"927","1",17
"928","0",-13
"929","0",3
"930","0",13
"931","1",-1
"932","1",-10
"933","0",20
"934","0",5
"935","0",3
"936","0",8
"937","0",-6
"938","1",20
"939","0",16
"940","0",4
"941","1",13
"942","0",-11
"943","0",5
"944","0",9
"945","1",36
"946","0",-8
"947","0",6
"948","0",21
"949","1",3
"950","0",-5
"951","0",35
"952","0",25
"953","0",-24
"954","1",16
"955","0",2
"956","0",6
"957","0",-8
"958","1",34
"959","1",-4
"960","1",-10
"961","1",28
"962","0",-24
"963","0",-19
"964","1",4
"965","0",5
"966","0",10
"967","0",-14
"968","1",4
"969","0",9
"970","0",7
"971","1",-14
"972","1",-26
"973","1",2
"974","0",-7
"975","0",30
"976","0",4
"977","0",-8
"978","1",19
"979","0",-8
"980","1",43
"981","0",16
"982","0",15
"983","0",-3
"984","1",17
"985","0",13
"986","0",9
"987","0",3
"988","0",17
"989","0",-15
"990","1",8
"991","0",8
"992","0",4
"993","1",30
"994","0",-2
"995","0",-2
"996","1",10
"997","0",6
"998","0",4
"999","0",-9
"1000","1",12
"1001","1",5
"1002","0",-28
"1003","0",3
"1004","0",2
"1005","1",8
"1006","0",-8
"1007","0",36
"1008","0",3
"1009","0",26
"1010","0",24
"1011","0",6
"1012","0",8
"1013","0",-3
"1014","1",3
"1015","1",8
"1016","0",-4
"1017","0",-10
"1018","1",24
"1019","1",-7
"1020","1",-2
"1021","1",6
"1022","0",-8
"1023","0",5
"1024","0",18
"1025","0",11
"1026","0",12
"1027","0",13
"1028","0",8
"1029","1",13
"1030","0",-14
"1031","0",-2
"1032","1",11
"1033","1",18
"1034","0",-5
"1035","0",-6
"1036","1",32
"1037","0",-14
"1038","1",3
"1039","0",8
"1040","0",5
"1041","0",-18
"1042","1",11
"1043","1",3
"1044","0",-11
"1045","0",7
"1046","0",19
"1047","1",4
"1048","0",-2
"1049","0",19
"1050","0",17
"1051","0",6
"1052","0",19
"1053","0",7
"1054","0",4
"1055","0",1
"1056","0",5
"1057","1",-2
"1058","1",-3
"1059","1",-3
"1060","1",-1
"1061","0",10
"1062","0",6
"1063","1",7
"1064","0",-7
"1065","1",8
"1066","0",-10
"1067","1",26
"1068","0",-2
"1069","0",11
"1070","0",4
"1071","1",-9
"1072","1",-1
"1073","0",-2
"1074","1",7
"1075","0",3
"1076","0",11
"1077","1",9
"1078","0",-8
"1079","0",-20
"1080","1",19
"1081","1",-6
"1082","1",-4
"1083","0",-20
"1084","1",11
"1085","1",22
"1086","0",-14
"1087","1",1
"1088","0",-5
"1089","0",-9
"1090","1",16
"1091","1",5
"1092","0",-4
"1093","0",-14
"1094","1",4
"1095","1",16
"1096","0",-15
"1097","0",13
"1098","0",9
"1099","0",6
"1100","0",6
"1101","1",7
"1102","0",-1
"1103","0",-2
"1104","1",1
"1105","1",-4
"1106","1",-1
"1107","0",-16
"1108","1",2
"1109","1",-12
"1110","1",-1
"1111","0",14
"1112","0",11
"1113","0",-2
"1114","1",8
"1115","0",14
"1116","0",16
"1117","1",24
"1118","0",-23
"1119","0",3
"1120","0",9
"1121","0",-3
"1122","1",3
"1123","0",-6
"1124","1",1
"1125","1",16
"1126","0",-2
"1127","1",10
"1128","0",-6
"1129","1",16
"1130","0",-14
"1131","0",6
"1132","0",13
"1133","1",22
"1134","0",-16
"1135","0",-7
"1136","1",17
"1137","0",-18
"1138","1",7
"1139","1",1
"1140","0",-1
"1141","0",4
"1142","0",1
"1143","0",3
"1144","0",6
"1145","0",7
"1146","0",12
"1147","1",42
"1148","0",-25
"1149","0",7
"1150","0",11
"1151","0",4
"1152","0",18
"1153","0",5
"1154","0",13
"1155","0",4
"1156","0",17
"1157","0",-7
"1158","1",16
"1159","0",1
"1160","0",4
"1161","0",9
"1162","0",9
"1163","1",11
"1164","0",-8
"1165","0",15
"1166","0",11
"1167","0",-6
"1168","1",8
"1169","1",3
"1170","0",-1
"1171","0",14
"1172","0",11
"1173","0",-3
"1174","1",4
"1175","0",4
"1176","0",12
"1177","0",2
"1178","0",11
"1179","0",-11
"1180","1",18
"1181","0",9
"1182","0",6
"1183","1",-5
"1184","1",-5
"1185","1",3
"1186","0",-6
"1187","0",10
"1188","0",10
"1189","0",7
"1190","0",35
"1191","0",-10
"1192","1",34
"1193","0",4
"1194","0",19
"1195","1",25
"1196","0",-2
"1197","1",10
"1198","0",-16
"1199","0",3
"1200","0",8
"1201","1",24
"1202","0",-13
"1203","0",4
"1204","0",17
"1205","0",-8
"1206","1",6
"1207","1",4
"1208","0",-2
"1209","1",4
"1210","0",-3
"1211","0",8
"1212","0",10
"1213","1",-4
"1214","1",-3
"1215","0",12
"1216","0",1
"1217","0",-12
"1218","1",21
"1219","1",12
"1220","0",-9
"1221","0",3
"1222","0",10
"1223","1",25
"1224","0",-3
"1225","0",1
"1226","0",3
"1227","0",4
"1228","0",10
"1229","1",8
"1230","0",-28
"1231","0",-12
"1232","1",11
"1233","1",6
"1234","0",-10
"1235","1",3
"1236","0",-3
"1237","0",-19
"1238","1",6
"1239","0",22
"1240","0",11
"1241","0",20
"1242","0",16
"1243","1",17
"1244","0",-13
"1245","1",11
"1246","0",-8
"1247","1",5
"1248","0",-4
"1249","1",17
"1250","0",-6
"1251","0",-3
"1252","1",8
"1253","0",-11
"1254","1",28
"1255","1",-12
"1256","1",-3
"1257","1",5
"1258","0",-11
"1259","0",11
"1260","0",4
"1261","1",20
"1262","0",-8
"1263","1",21
"1264","0",-14
"1265","0",24
"1266","0",17
"1267","1",29
"1268","0",-32
"1269","1",7
"1270","0",-3
"1271","0",14
"1272","0",7
"1273","0",-17
"1274","1",29
"1275","1",31
"1276","0",-12
"1277","0",-2
"1278","1",8
"1279","0",-12
"1280","1",18
"1281","0",-12
"1282","1",20
"1283","1",31
"1284","0",-11
"1285","1",22
"1286","0",-14
"1287","1",21
"1288","0",-10
"1289","0",-11
"1290","1",39
"1291","0",-3
"1292","1",4
"1293","1",14
"1294","0",-51
"1295","0",-6
"1296","1",8
"1297","1",9
"1298","0",-23
"1299","0",21
"1300","0",5
"1301","1",22
"1302","0",-17
"1303","0",-2
"1304","1",13
"1305","0",5
"1306","0",1
"1307","0",-9
"1308","1",26
"1309","1",4
"1310","0",-1
"1311","1",4
"1312","0",-28
"1313","1",3
"1314","0",-11
"1315","0",-8
"1316","1",12
"1317","0",6
"1318","0",6
"1319","1",-3
"1320","1",-9
"1321","1",6
"1322","0",-15
"1323","0",-2
"1324","1",3
"1325","1",12
"1326","0",-19
"1327","0",-25
"1328","1",23
"1329","0",-3
"1330","1",8
"1331","1",-2
"1332","1",-10
"1333","0",19
"1334","0",15
"1335","1",1
"1336","0",-8
"1337","0",8
"1338","0",7
"1339","0",-6
"1340","1",15
"1341","0",21
"1342","0",4
"1343","0",-9
"1344","1",9
"1345","1",7
"1346","0",-3
"1347","1",21
"1348","0",-4
"1349","0",-3
"1350","1",1
"1351","0",-6
"1352","1",9
"1353","1",8
"1354","0",-11
"1355","1",-5
"1356","1",-14
"1357","1",-12
"1358","1",-5
"1359","1",21
"1360","0",-2
"1361","0",1
"1362","0",8
"1363","0",6
"1364","0",5
"1365","0",11
"1366","0",14
"1367","1",19
"1368","0",-18
"1369","1",21
"1370","0",-6
"1371","0",17
"1372","0",2
"1373","1",-5
"1374","1",-3
"1375","1",18
"1376","0",-13
"1377","0",-1
"1378","1",2
"1379","0",1
"1380","0",13
"1381","0",2
"1382","0",8
"1383","1",11
"1384","0",-23
"1385","1",36
"1386","0",-15
"1387","0",11
"1388","0",13
"1389","0",9
"1390","0",11
"1391","0",2
"1392","0",3
"1393","0",23
"1394","0",2
"1395","0",5
"1396","0",14
"1397","0",-9
"1398","1",7
"1399","0",-5
"1400","1",13
"1401","0",11
"1402","0",12
"1403","0",5
"1404","0",2
"1405","0",2
"1406","0",11
"1407","0",-26
"1408","1",11
"1409","0",9
"1410","0",14
"1411","0",14
"1412","0",3
"1413","1",4
"1414","0",-4
"1415","0",-3
"1416","1",4
"1417","0",-7
"1418","1",4
"1419","0",-14
"1420","1",25
"1421","1",29
"1422","0",-5
"1423","1",23
"1424","0",-5
"1425","1",6
"1426","0",-11
"1427","0",6
"1428","0",13
"1429","0",12
"1430","0",8
"1431","1",-5
"1432","1",-7
"1433","0",12
"1434","0",10
"1435","0",-5
"1436","1",26
"1437","0",9
"1438","0",5
"1439","0",-2
"1440","1",1
"1441","0",-3
"1442","1",7
"1443","0",-14
"1444","1",10
"1445","0",-1
"1446","1",19
"1447","0",17
"1448","0",6
"1449","1",8
"1450","0",-6
"1451","0",6
"1452","0",13
"1453","0",-11
"1454","1",9
"1455","0",-14
"1456","1",21
"1457","0",6
"1458","0",1
"1459","0",19
"1460","0",2
"1461","1",20
"1462","0",-2
"1463","0",3
"1464","0",12
"1465","1",16
"1466","0",-4
"1467","1",8
"1468","0",-30
"1469","1",11
"1470","0",-14
"1471","0",15
"1472","0",4
"1473","1",6
"1474","0",-10
"1475","0",-3
"1476","1",20
"1477","1",17
"1478","0",-10
"1479","0",-3
"1480","1",4
"1481","1",22
"1482","0",-4
"1483","0",1
"1484","0",3
"1485","1",8
"1486","0",-3
"1487","1",13
"1488","0",-10
"1489","0",-14
"1490","1",4
"1491","0",7
"1492","0",8
"1493","1",-2
"1494","1",-5
"1495","1",11
"1496","0",-28
"1497","0",17
"1498","0",5
"1499","0",-6
"1500","1",9
"1501","1",32
"1502","0",-11
"1503","0",5
"1504","0",13
"1505","0",6
"1506","0",1
"1507","0",7
"1508","0",11
"1509","1",2
"1510","0",-5
"1511","1",17
"1512","0",-13
"1513","1",3
"1514","0",-8
"1515","0",37
"1516","0",5
"1517","0",-2
"1518","1",20
"1519","1",-15
"1520","1",-5
"1521","0",6
"1522","0",4
"1523","1",-10
"1524","1",-6
"1525","0",6
"1526","0",4
"1527","0",10
"1528","0",29
"1529","1",-11
"1530","1",-2
"1531","0",20
"1532","0",6
"1533","0",-8
"1534","1",9
"1535","1",-5
"1536","1",-7
"1537","1",8
"1538","0",-10
"1539","1",15
"1540","0",-7
"1541","0",15
"1542","0",15
"1543","0",5
"1544","0",4
"1545","0",24
"1546","0",13
"1547","1",15
"1548","0",-6
"1549","1",-10
"1550","1",-8
"1551","1",13
"1552","0",-1
"1553","0",-1
"1554","1",13
"1555","1",3
"1556","0",-4
"1557","0",8
"1558","0",22
"1559","0",-23
"1560","1",27
"1561","1",-19
"1562","1",-13
"1563","0",2
"1564","0",3
"1565","0",-3
"1566","1",32
"1567","0",5
"1568","0",2
"1569","0",14
"1570","0",13
"1571","0",-6
"1572","1",23
"1573","1",9
"1574","0",-2
"1575","0",-12
"1576","1",20
"1577","1",8
"1578","0",-19
"1579","0",11
"1580","0",7
"1581","0",7
"1582","0",2
"1583","0",10
"1584","0",5
"1585","0",-3
"1586","1",9
"1587","0",-13
"1588","1",5
"1589","1",32
"1590","0",-22
"1591","0",7
"1592","0",1
"1593","0",-3
"1594","1",3
"1595","0",10
"1596","0",14
"1597","0",5
"1598","0",14
"1599","0",-4
"1600","1",13
"1601","0",7
"1602","0",17
"1603","0",-6
"1604","1",4
"1605","0",-14
"1606","1",19
"1607","1",4
"1608","0",-25
"1609","1",19
"1610","0",-16
"1611","1",6
"1612","0",-5
"1613","0",1
"1614","0",5
"1615","1",10
"1616","0",-13
"1617","1",7
"1618","0",-1
"1619","1",49
"1620","0",-16
"1621","0",-15
"1622","1",34
"1623","0",-6
"1624","1",7
"1625","1",12
"1626","0",-3
"1627","0",5
"1628","0",5
"1629","1",-2
"1630","1",-4
"1631","0",4
"1632","0",19
"1633","1",-9
"1634","1",-4
"1635","0",5
"1636","0",1
"1637","1",29
"1638","0",-6
"1639","0",-17
"1640","1",29
"1641","1",-6
"1642","1",-5
"1643","1",14
"1644","0",-6
"1645","1",14
"1646","0",-6
"1647","0",-4
"1648","1",8
"1649","0",11
"1650","0",8
"1651","1",17
"1652","0",-18
"1653","0",-15
"1654","1",13
"1655","0",2
"1656","0",23
"1657","0",2
"1658","0",2
"1659","0",16
"1660","0",15
"1661","1",6
"1662","0",-7
"1663","1",-6
"1664","1",-1
"1665","1",5
"1666","0",-1
"1667","1",-1
"1668","1",-16
"1669","1",7
"1670","0",-1
"1671","0",1
"1672","0",11
"1673","1",6
"1674","0",-5
"1675","1",5
"1676","0",-13
"1677","1",-4
"1678","1",-4
"1679","0",11
"1680","0",5
"1681","0",-10
"1682","1",15
"1683","1",10
"1684","0",-24
"1685","1",7
"1686","0",-11
"1687","0",-13
"1688","1",11
"1689","0",3
"1690","0",20
"1691","0",-12
"1692","1",10
"1693","0",-13
"1694","1",17
"1695","0",-8
"1696","1",2
"1697","0",10
"1698","0",1
"1699","0",-12
"1700","1",13
"1701","0",2
"1702","0",5
"1703","1",-5
"1704","1",-14
"1705","0",-13
"1706","1",16
"1707","0",12
"1708","0",3
"1709","0",9
"1710","0",9
"1711","1",-1
"1712","1",-27
"1713","1",3
"1714","0",-7
"1715","0",-9
"1716","1",14
"1717","1",23
"1718","0",-10
"1719","0",-3
"1720","1",14
"1721","1",9
"1722","0",-19
"1723","0",4
"1724","0",7
"1725","0",-14
"1726","1",11
"1727","0",-4
"1728","1",10
"1729","1",-18
"1730","1",-15
"1731","0",-3
"1732","1",6
"1733","0",-3
"1734","1",11
"1735","1",3
"1736","0",-16
"1737","0",-2
"1738","1",4
"1739","0",-20
"1740","1",15
"1741","0",-12
"1742","1",16
"1743","0",-11
"1744","1",43
"1745","0",-5
"1746","1",9
"1747","1",4
"1748","0",-10
"1749","0",-43
"1750","1",28
"1751","0",-17
"1752","1",7
"1753","0",-14
"1754","1",19
"1755","1",22
"1756","0",-13
"1757","1",7
"1758","0",-11
"1759","0",9
"1760","0",12
"1761","0",4
"1762","0",14
"1763","0",-3
"1764","1",8
"1765","1",8
"1766","0",-6
"1767","1",5
"1768","0",-7
"1769","0",-7
"1770","1",4
"1771","0",-4
"1772","1",2
"1773","1",12
"1774","0",-1
"1775","0",-10
"1776","1",10
"1777","1",9
"1778","0",-2
"1779","0",2
"1780","0",12
"1781","0",9
"1782","0",11
"1783","1",-3
